site,period,ind,sex,age,rep,side,uid,Trait,Value
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xlc,NA
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xli2,NA
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xli1,NA
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbc,NA
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbi2,NA
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbi1,6.61
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xlc,NA
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xli2,NA
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xli1,NA
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbc,NA
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbi2,NA
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbi1,6.55
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xlm1,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xlp2,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xli2,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbm1,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbp2,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbi2,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbi1,7.44
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mlp1,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mlc,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mbp1,NA
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mbc,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xlm1,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xlp2,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xli2,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbm1,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbp2,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbi2,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbi1,7.29
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mlp1,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mlc,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mbp1,NA
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mbc,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xlm2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xlp2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xli1,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xbm2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xbi1,7.13
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlm2,10.5
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlm1,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlp2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlp1,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbm2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbm1,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbp2,NA
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbp1,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xlm2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xlp2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xli1,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xbm2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xbi1,6.44
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mlm2,10.46
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mlm1,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mlp2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mlp1,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mbm2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mbm1,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mbp2,NA
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,mbp1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xlm1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xlp2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xlp1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xlc,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xli2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbm1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbp2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbp1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbc,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbi2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,xbi1,6.95
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mlm2,11.4
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mlm1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mlp2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mlp1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mlc,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mli2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mli1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbm2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbm1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbp2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbp1,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbc,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbi2,NA
Wakimisaki,Jomon,5,male,adult,1,R,Wakimisaki_5,mbi1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xlm1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xlp2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xlp1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xlc,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xli2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbm1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbp2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbp1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbc,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbi2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,xbi1,7.19
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mlm2,10.9
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mlm1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mlp2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mlp1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mlc,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mli2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mli1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbm2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbm1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbp2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbp1,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbc,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbi2,NA
Wakimisaki,Jomon,5,male,adult,1,L,Wakimisaki_5,mbi1,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,xlp1,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,xli2,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,xbp1,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,xbi2,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,xbi1,6.6
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mlm2,9.21
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mlp2,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mlp1,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mlc,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mbm2,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mbp2,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mbp1,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mbc,NA
Wakimisaki,Jomon,2,female,adult,1,R,Wakimisaki_2,mbi2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,xlp1,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,xli2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,xbp1,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,xbi2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,xbi1,6.72
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mlm2,9.48
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mlp2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mlp1,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mlc,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mbm2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mbp2,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mbp1,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mbc,NA
Wakimisaki,Jomon,2,female,adult,1,L,Wakimisaki_2,mbi2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xlm2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xlm1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xlp2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xlp1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xlc,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xli1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbm2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbm1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbp2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbp1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbc,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,xbi1,6.85
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mlm2,9.4
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mlm1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mlp2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mlp1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mlc,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mli2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mli1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbm2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbm1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbp2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbp1,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbc,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbi2,NA
Okinoharu,Jomon,25,male,adult,1,R,Okinoharu_25,mbi1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xlm2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xlm1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xlp2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xlp1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xlc,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xli1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbm2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbm1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbp2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbp1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbc,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,xbi1,6.84
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mlm2,10.39
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mlm1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mlp2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mlp1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mlc,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mli2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mli1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbm2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbm1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbp2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbp1,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbc,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbi2,NA
Okinoharu,Jomon,25,male,adult,1,L,Okinoharu_25,mbi1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xlm2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xlm1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xlp2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xlp1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xli2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xli1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbm2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbm1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbp2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbp1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbc,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbi2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,xbi1,6.82
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mlm1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mlp2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mlp1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mlc,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mli2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mli1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbm1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbp2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbp1,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbc,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbi2,NA
Shirahama,Jomon,1,male,adult,1,R,Shirahama_1,mbi1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xlm2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xlm1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xlp2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xlp1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xli2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xli1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbm2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbm1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbp2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbp1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbc,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbi2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,xbi1,6.57
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mlm1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mlp2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mlp1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mlc,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mli2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mli1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbm1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbp2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbp1,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbc,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbi2,NA
Shirahama,Jomon,1,male,adult,1,L,Shirahama_1,mbi1,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xlp2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xlp1,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xlc,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xli2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xli1,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xbp2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xbp1,8.54
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xbc,7.23
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xbi2,4.27
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,xbi1,6.86
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,mlm2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,mlc,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,mli2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,mbm2,NA
Fukahori,Yayoi,19,female,adult,1,R,Fukahori_19,mbc,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xlp2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xlp1,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xlc,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xli2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xli1,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xbp2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xbp1,8.47
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xbc,7.07
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xbi2,5.98
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,xbi1,6.69
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,mlm2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,mlc,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,mli2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,mbm2,NA
Fukahori,Yayoi,19,female,adult,1,L,Fukahori_19,mbc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xlm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xlm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xlp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xlp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xlc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xli1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbm1,11.55
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbp1,9.02
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbc,7.98
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,xbi1,7.03
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mlm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mlm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mlp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mlp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mlc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mli2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mli1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbi2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,R,Fukahori_2002-8-A,mbi1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xlm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xlm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xlp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xlp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xlc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xli1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbm1,11.46
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbp1,8.52
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbc,7.92
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,xbi1,7.28
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mlm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mlm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mlp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mlp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mlc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mli2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mli1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbm2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbm1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbp2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbp1,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbc,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbi2,NA
Fukahori,Yayoi,2002-8-A,male,adult,1,L,Fukahori_2002-8-A,mbi1,NA
Fukahori,Yayoi,2002-11,female,mature,1,R,Fukahori_2002-11,mlp2,NA
Fukahori,Yayoi,2002-11,female,mature,1,R,Fukahori_2002-11,mlp1,NA
Fukahori,Yayoi,2002-11,female,mature,1,R,Fukahori_2002-11,mbp2,NA
Fukahori,Yayoi,2002-11,female,mature,1,R,Fukahori_2002-11,mbp1,NA
Fukahori,Yayoi,2002-11,female,mature,1,L,Fukahori_2002-11,mlp2,NA
Fukahori,Yayoi,2002-11,female,mature,1,L,Fukahori_2002-11,mlp1,NA
Fukahori,Yayoi,2002-11,female,mature,1,L,Fukahori_2002-11,mbp2,NA
Fukahori,Yayoi,2002-11,female,mature,1,L,Fukahori_2002-11,mbp1,NA
Fukahori,Yayoi,15,male,adult,1,R,Fukahori_15,xlm2,NA
Fukahori,Yayoi,15,male,adult,1,R,Fukahori_15,xli1,NA
